home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,user_id,home_grd_id,inc_quar,name,NAME_3,stay_gid9,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff,poi_deciles
89088843287ffff,7.0,15.0,7.0,15.0,1,1kmN6835E0233,Q3,Pori,Pori,89088843287ffff,0.0,0.0,0.0,0.0,0.0,"(-0.001, 1.386]"
89088843633ffff,14.72966826293328,49.08386171929836,13.5,19.0,1,1kmN6835E0232,Q3,Pori,Pori,89088843633ffff,0.0,0.0,30.083861719298362,0.917966561273305,1.5833611431209664,"(-0.001, 1.386]"
89088843637ffff,29.663968202498292,54.82934074522027,19.516573810963656,24.769661249136536,1,1kmN6835E0232,Q3,Pori,Pori,89088843637ffff,1.0,0.6931471805599453,30.059679496083735,0.7731016715849148,1.2135684535101023,"(-0.001, 1.386]"
890888436b7ffff,107.30911326733111,38.53043740463365,26.0,19.0,1,1kmN6835E0231,Q3,Pori,Pori,890888436b7ffff,1.0,0.6931471805599453,19.530437404633652,0.6813386688245173,1.0279177581386132,"(-0.001, 1.386]"
89088850acbffff,9.592176882168932,11.539088232573981,7.3679417009257815,11.539088232573981,4,1kmN6841E0227,Q3,Pori,Pori,89088850acbffff,6.0,1.9459101490553132,0.0,0.0,0.0,"(1.386, 1.946]"
89088850e4fffff,34.22887914136081,28.728759152573065,6.8199598383593285,22.85227770775941,3,1kmN6840E0226,Q3,Pori,Pori,89088850e4fffff,6.0,1.9459101490553132,5.876481444813656,0.22023518477519977,0.25715079783133904,"(1.386, 1.946]"
89088850e87ffff,17.34886238770093,125.0,13.822222015972947,55.05324485397364,2,1kmN6842E0225,Q3,Pori,Pori,89088850e87ffff,3.0,1.3862943611198906,69.94675514602636,0.8099798669774394,1.270529200078163,"(-0.001, 1.386]"
8908885104bffff,52.67870787533186,86.69434885648762,62.68604219052065,103.16360877640952,1,1kmN6832E0224,Q4,Pori,Pori,8908885104bffff,2.0,1.0986122886681098,16.469259919921896,0.17210536424124623,0.15964214624961753,"(-0.001, 1.386]"
890888511abffff,22.5260652758368,180.0,13.5,91.0,1,1kmN6836E0225,Q4,Pori,Pori,890888511abffff,4.0,1.6094379124341003,89.0,0.6767084542167856,0.978021978021978,"(1.386, 1.946]"
8908885120bffff,14.985068259714364,64.75,10.48796377998636,44.13620654432579,2,1kmN6831E0225,Q4,Pori,Pori,8908885120bffff,3.0,1.3862943611198906,20.613793455674212,0.3761749407646193,0.46704950582855087,"(-0.001, 1.386]"
