home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff
89088843287ffff,7.0,15.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0
89088843633ffff,14.72966826293328,49.08386171929836,13.5,19.0,0.0,0.0,30.08386171929836,0.917966561273305,1.5833611431209664
89088843637ffff,29.663968202498292,54.82934074522027,19.516573810963656,24.769661249136536,1.0,0.6931471805599453,30.059679496083735,0.7731016715849148,1.2135684535101023
890888436b7ffff,107.30911326733111,38.53043740463365,26.0,19.0,1.0,0.6931471805599453,19.530437404633652,0.6813386688245173,1.0279177581386132
89088850acbffff,9.592176882168932,11.53908823257398,7.367941700925781,11.53908823257398,6.0,1.9459101490553132,0.0,0.0,0.0
89088850e4fffff,34.22887914136081,28.728759152573065,6.8199598383593285,22.85227770775941,6.0,1.9459101490553132,5.876481444813656,0.2202351847751997,0.257150797831339
89088850e87ffff,17.34886238770093,125.0,13.822222015972947,55.05324485397364,3.0,1.3862943611198906,69.94675514602636,0.8099798669774394,1.270529200078163
8908885104bffff,52.67870787533186,86.69434885648762,62.68604219052065,103.16360877640952,2.0,1.0986122886681098,16.469259919921896,0.1721053642412462,0.1596421462496175
890888511abffff,22.5260652758368,180.0,13.5,91.0,4.0,1.6094379124341005,89.0,0.6767084542167856,0.978021978021978
8908885120bffff,14.985068259714364,64.75,10.48796377998636,44.13620654432579,3.0,1.3862943611198906,20.613793455674212,0.3761749407646193,0.4670495058285508
89088851243ffff,13.732220615420616,56.03287959906161,13.0,54.0,3.0,1.3862943611198906,2.0328795990616086,0.0362947513679365,0.0376459185011409
89088851253ffff,14.097894131825232,47.42209138660325,11.0,30.760687315909284,2.0,1.0986122886681098,16.661404070693965,0.4217268661220505,0.5416460269428623
89088851257ffff,23.5,180.0,8.650157897476543,35.544010499209975,2.0,1.0986122886681098,144.45598950079005,1.599979729929072,4.064144351521638
8908885125bffff,9.412697820646624,33.91269782064662,7.8292850726818735,12.761897804917094,3.0,1.3862943611198906,21.150800015729526,0.9309468525753511,1.6573397106800394
8908885126bffff,31.00434137480446,11.0,23.0,11.0,3.0,1.3862943611198906,0.0,0.0,0.0
8908885127bffff,16.368202109917945,145.2619601779187,11.5,57.0,3.0,1.3862943611198906,88.2619601779187,0.9249562512161428,1.5484554417178718
89088851403ffff,28.11161985497787,103.25412009641327,9.411234357432669,28.91123435743267,1.0,0.6931471805599453,74.34288573898061,1.2485972403612515,2.5714185987312614
8908885146fffff,7.556557903600991,24.80655790360099,6.556557903600991,12.056557903600993,1.0,0.6931471805599453,12.749999999999998,0.681338113042969,1.0575157604635974
89088851653ffff,7.666666666666667,40.08790139431786,8.0,12.0,4.0,1.6094379124341005,28.08790139431786,1.1507643507373737,2.3406584495264884
890888516c3ffff,19.880923308134488,77.71387685731096,21.58998917723995,84.39455925994119,3.0,1.3862943611198906,6.680682402630225,0.0814629239711708,0.079160107727481
890888516cbffff,30.35463672895851,11.306122644061622,5.533877249431219,11.306122644061622,6.0,1.9459101490553132,0.0,0.0,0.0
89088851b83ffff,27.465460236972067,10.5,13.8963807109162,10.5,5.0,1.791759469228055,0.0,0.0,0.0
89088851b97ffff,5.756025651573342,6.0,5.756025651573342,6.0,3.0,1.3862943611198906,0.0,0.0,0.0
89088851d33ffff,11.0,37.0,10.96011881067979,36.57460064725109,11.0,2.4849066497880004,0.4253993527489115,0.0112578522941637,0.0116310047196888
89088851d3bffff,36.10579053151007,128.73835434904495,13.390358953411411,66.16225007298675,9.0,2.302585092994046,62.5761042760582,0.6584084286630647,0.9457977049907992
89088851d7bffff,14.484419523731564,31.770397794886332,5.675982727904788,5.675982727904788,7.0,2.0794415416798357,26.094415066981544,1.5910091830286326,4.5973387020178516
89088851dabffff,14.071629683555004,16.625,8.43289709594536,13.75,5.0,1.791759469228055,2.875,0.1780752659125033,0.209090909090909
8908885236fffff,7.843281382341311,5.88569591239507,6.581170931344228,5.922191691482428,0.0,0.0,0.0364957790873585,0.0052862342338884,0.006162546062102
89088852423ffff,5.6704018015502475,5.6704018015502475,5.6704018015502475,5.6704018015502475,1.0,0.6931471805599453,0.0,0.0,0.0
890888550cbffff,22.928131631372096,48.91371922755589,14.25,34.26844793907826,0.0,0.0,14.64527128847763,0.3473071612398035,0.4273689696864501
8908885a043ffff,14.719176491227095,52.0,14.0,45.0,8.0,2.1972245773362196,7.0,0.1416505170630269,0.1555555555555555
8908885a053ffff,22.0,118.0,22.0,118.0,9.0,2.302585092994046,0.0,0.0,0.0
8908885a05bffff,9.121778802577698,31.3717788025777,8.61639541482635,28.61639541482635,10.0,2.3978952727983707,2.755383387751351,0.0889589114900837,0.0962868784767968
8908885a077ffff,7.827442074685831,17.0,5.746916305529736,6.0,11.0,2.4849066497880004,11.0,0.9444616088408512,1.8333333333333333
8908885a0cbffff,13.5,57.5,9.097066365479192,23.469429664711885,17.0,2.8903717578961645,34.03057033528812,0.8716021845860409,1.4499956250089765
8908885a123ffff,28.9828172361846,43.18426526474639,33.18190988057746,41.332879536016634,5.0,1.791759469228055,1.8513857287297528,0.0428046581076055,0.0447920819820088
8908885a127ffff,8.354586389959426,21.937251286353547,8.633793735761493,22.0,3.0,1.3862943611198906,0.062748713646453,0.0027319332749002,0.0028522142566569
8908885a14bffff,14.969022047888409,36.8373591216706,10.40536147380894,36.5,9.0,2.302585092994046,0.3373591216706018,0.0089560181183059,0.0092427156622082
8908885a177ffff,10.605286503293978,54.0814213501096,9.0,47.0,5.0,1.791759469228055,7.081421350109601,0.1376114678140516,0.150668539364034
8908885a18fffff,35.51997643898774,35.51997643898774,35.51997643898774,35.51997643898774,8.0,2.1972245773362196,0.0,0.0,0.0
8908885a197ffff,13.210347042723608,42.640143388946015,13.153608569424296,42.52899801905372,2.0,1.0986122886681098,0.1111453698922986,0.0025501095531996,0.0026134020331845
8908885a1b7ffff,11.385967247194037,50.38596724719404,6.9481101888023105,16.94811018880231,4.0,1.6094379124341005,33.43785705839173,1.05188029700104,1.9729549009236595
8908885a283ffff,10.592502730866972,48.20058682808451,8.597428939221484,34.73789639346949,18.0,2.9444389791664403,13.46269043461502,0.3196939014328359,0.3875505379521461
8908885a287ffff,11.16424209761901,114.87071450424476,10.0,31.75,10.0,2.3978952727983707,83.12071450424477,1.2635720773387038,2.6179752599762134
8908885a2b3ffff,16.0,38.04812254026892,8.0,10.0,7.0,2.0794415416798357,28.04812254026892,1.2668995239773344,2.804812254026892
8908885a38bffff,11.0,23.23984295573384,6.0,10.0,0.0,0.0,13.239842955733842,0.7901024096579046,1.3239842955733845
8908885a40bffff,5.765466026854817,5.765466026854817,5.765466026854817,5.765466026854817,86.0,4.465908118654584,0.0,0.0,0.0
8908885a413ffff,3972.122506448289,92.89752460326248,6.336289287268755,6.836289287268755,676.0,6.517671272912275,86.06123531599371,2.4834386066914043,12.588881438394631
8908885a453ffff,14.0,64.0,5.7131398874809705,5.7131398874809705,72.5,4.297285406218791,58.28686011251903,2.270320486860148,10.202246270958856
8908885a45bffff,36.607906352479915,32.22523166424579,6.804295245989,6.804295245989,56.0,4.04305126783455,25.42093641825679,1.4486353224695447,3.736013135708939
8908885a473ffff,5.7624367681257445,6.0,5.7624367681257445,6.0,30.0,3.4339872044851463,0.0,0.0,0.0
8908885a47bffff,14.330858309835325,46.12650991801804,8.394857690455744,16.783632555077933,33.0,3.5263605246161616,29.342877362940104,0.974557171052413,1.7483031320333773
8908885a493ffff,5.697966828859537,5.697966828859537,5.697966828859537,5.697966828859537,163.0,5.099866427824199,0.0,0.0,0.0
8908885a4c3ffff,5.742265720335497,5.742265720335497,5.742265720335497,5.742265720335497,102.0,4.634728988229636,0.0,0.0,0.0
8908885a4cfffff,12.0,51.5,6.0,6.0,106.0,4.672828834461906,45.5,2.014903020542265,7.583333333333333
8908885a503ffff,14.575871327009754,19.871946933155705,14.575871327009754,17.0,5.0,1.791759469228055,2.871946933155705,0.1480342474453655,0.168938054891512
8908885a50fffff,13.586317135794182,34.294052742342714,7.537421614951311,19.0,4.0,1.6094379124341005,15.294052742342714,0.5679821986372922,0.8049501443338271
8908885a517ffff,7.162599520429033,16.831285585728637,6.017391796943657,6.020530428818018,4.0,1.6094379124341005,10.810755156910618,0.9321157568283236,1.7956482879255278
8908885a51bffff,5.843960609148804,5.843960609148804,5.843960609148804,5.843960609148804,10.0,2.3978952727983707,0.0,0.0,0.0
8908885a53bffff,15.406672592063517,80.56418219647054,12.25,46.25,2.0,1.0986122886681098,34.31418219647054,0.5459375679956322,0.7419282637074711
8908885a543ffff,43.530393761821415,51.93039376182141,5.769574136651048,5.769574136651048,12.0,2.5649493574615367,46.16081962517036,2.0565395446732806,8.000732555273903
8908885a56bffff,9.554421814506204,9.554421814506204,5.918825700845955,7.851139974541969,10.0,2.3978952727983707,1.7032818399642355,0.1759986400418283,0.2169470733533322
8908885a56fffff,16.0,43.44805216661566,9.0,23.0,1.0,0.6931471805599453,20.44805216661566,0.6162673098782587,0.8890457463745939
8908885a573ffff,21.445563809811652,41.70072466062399,10.923687222835955,41.70072466062399,7.0,2.0794415416798357,0.0,0.0,0.0
8908885a577ffff,19.242070159282903,108.01037305224546,14.363105238924351,75.01037305224546,4.0,1.6094379124341005,33.0,0.3605732248158126,0.4399391531757238
8908885a57bffff,12.424779517524511,56.97345662267159,12.424779517524511,56.97345662267159,13.0,2.6390573296152584,0.0,0.0,0.0
8908885a583ffff,12.920901326397368,20.500110436351893,5.824029614649493,5.864101328302424,17.0,2.8903717578961645,14.636009108049468,1.14175294733641,2.4958656559037307
8908885a5a3ffff,9.854401595300049,39.5,9.854401595300049,39.5,4.0,1.6094379124341005,0.0,0.0,0.0
8908885a5a7ffff,27.250658481915572,31.393002291495357,6.845195461902188,26.476480047712982,2.0,1.0986122886681098,4.916522243782374,0.1646120530866226,0.1856939530829763
8908885a5abffff,7.890157107576097,21.22349044090943,5.69034236647698,5.69034236647698,4.0,1.6094379124341005,15.53314807443245,1.200484808737572,2.7297387527930725
8908885a5b3ffff,11.430826298513296,39.5,11.385643010966312,39.75,7.0,2.0794415416798357,0.25,0.0061538655743782,0.0062893081761006
8908885a5b7ffff,14.0,67.0,12.0,43.0,4.0,1.6094379124341005,24.0,0.4353180712578459,0.5581395348837209
8908885a62bffff,5.827406196552463,9.0,5.834327434594364,9.03345992848852,16.0,2.833213344056216,0.0334599284885204,0.0033404074704024,0.0037039992155164
8908885a62fffff,9.448451276544391,39.247914236384055,7.904969382609003,26.404969382609004,16.0,2.833213344056216,12.842944853775052,0.3843338210294993,0.4863836298266548
8908885a643ffff,11.5,62.0,8.5,32.0,12.0,2.5649493574615367,30.0,0.6466271649250523,0.9375
8908885a647ffff,6.0,10.0,6.0,10.0,16.0,2.833213344056216,0.0,0.0,0.0
8908885a657ffff,14.114195920612577,68.16886182073081,12.25,57.25,12.0,2.5649493574615367,10.918861820730813,0.171806695220412,0.1907224772180054
